          atime         eps_uu         eps_vv         eps_ww         pm1avg           tavg
  3.6000000E+02 -1.2201606E-02 -7.3807128E-03 -9.2396102E-03 -2.7386581E-03  0.0000000E+00
  3.6000000E+02 -1.1492765E-02 -7.1297041E-03 -8.8300676E-03 -2.7126291E-03  0.0000000E+00
  3.6000000E+02 -1.0863397E-02 -6.8996782E-03 -8.4584018E-03 -2.6941102E-03  0.0000000E+00
  3.6000000E+02 -1.0304217E-02 -6.6880848E-03 -8.1213973E-03 -2.6810757E-03  0.0000000E+00
  3.6000000E+02 -9.8181622E-03 -6.4925698E-03 -7.8214271E-03 -2.6716850E-03  0.0000000E+00
  3.6000000E+02 -9.4053895E-03 -6.3110871E-03 -7.5594992E-03 -2.6643486E-03  0.0000000E+00
  3.6000000E+02 -9.0573913E-03 -6.1418585E-03 -7.3322165E-03 -2.6577532E-03  0.0000000E+00
  3.6000000E+02 -8.7578690E-03 -5.9832420E-03 -7.1318225E-03 -2.6508560E-03  0.0000000E+00
  3.6000000E+02 -8.4880170E-03 -5.8335729E-03 -6.9485122E-03 -2.6428588E-03  0.0000000E+00
  3.6000000E+02 -8.2338619E-03 -5.6910423E-03 -6.7741820E-03 -2.6331725E-03  0.0000000E+00
  3.6000000E+02 -7.9933047E-03 -5.5536745E-03 -6.6067966E-03 -2.6213827E-03  0.0000000E+00
  3.6000000E+02 -7.7805142E-03 -5.4194685E-03 -6.4545473E-03 -2.6072274E-03  0.0000000E+00
  3.6000000E+02 -7.6253182E-03 -5.2867659E-03 -6.3389798E-03 -2.5905956E-03  0.0000000E+00
  3.6000000E+02 -7.5246433E-03 -5.1543441E-03 -6.2649794E-03 -2.5715765E-03  0.0000000E+00
  3.6000000E+02 -7.1405859E-03 -5.0168314E-03 -5.9750872E-03 -2.5502752E-03  0.0000000E+00
  3.6000000E+02 -6.8586635E-03 -4.8814176E-03 -5.7595617E-03 -2.5264367E-03  0.0000000E+00
  3.6000000E+02 -6.6278122E-03 -4.7497950E-03 -5.5803734E-03 -2.5002346E-03  0.0000000E+00
  3.6000000E+02 -6.4208145E-03 -4.6229009E-03 -5.4174177E-03 -2.4718795E-03  0.0000000E+00
  3.6000000E+02 -6.2258757E-03 -4.5011626E-03 -5.2623009E-03 -2.4415883E-03  0.0000000E+00
  3.6000000E+02 -6.0401411E-03 -4.3846841E-03 -5.1134824E-03 -2.4095630E-03  0.0000000E+00
  3.6000000E+02 -5.8649415E-03 -4.2733788E-03 -4.9726412E-03 -2.3759774E-03  0.0000000E+00
  3.6000000E+02 -5.7025537E-03 -4.1670573E-03 -4.8421369E-03 -2.3409694E-03  0.0000000E+00
  3.6000000E+02 -5.5542624E-03 -4.0654773E-03 -4.7234320E-03 -2.3046395E-03  0.0000000E+00
  3.6000000E+02 -5.4195112E-03 -3.9683629E-03 -4.6163462E-03 -2.2670541E-03  0.0000000E+00
  3.6000000E+02 -5.2959270E-03 -3.8753998E-03 -4.5190105E-03 -2.2282515E-03  0.0000000E+00
  3.6000000E+02 -5.1800078E-03 -3.7862148E-03 -4.4283896E-03 -2.1882515E-03  0.0000000E+00
  3.6000000E+02 -5.0682575E-03 -3.7003467E-03 -4.3412432E-03 -2.1470661E-03  0.0000000E+00
  3.6000000E+02 -4.9585562E-03 -3.6172152E-03 -4.2553922E-03 -2.1047101E-03  0.0000000E+00
  3.6000000E+02 -4.8515523E-03 -3.5360958E-03 -4.1711614E-03 -2.0612127E-03  0.0000000E+00
  3.6000000E+02 -4.7518629E-03 -3.4561075E-03 -4.0928658E-03 -2.0166262E-03  0.0000000E+00
  3.6000000E+02 -4.6688688E-03 -3.3762213E-03 -4.0302097E-03 -1.9710331E-03  0.0000000E+00
  3.6000000E+02 -4.6168920E-03 -3.2952963E-03 -3.9994679E-03 -1.9245497E-03  0.0000000E+00
  3.6000000E+02 -4.4338671E-03 -3.2124337E-03 -3.8368165E-03 -1.8777205E-03  0.0000000E+00
  3.6000000E+02 -4.2697496E-03 -3.1301575E-03 -3.6936031E-03 -1.8301561E-03  0.0000000E+00
  3.6000000E+02 -4.1350961E-03 -3.0498250E-03 -3.5798231E-03 -1.7819626E-03  0.0000000E+00
  3.6000000E+02 -4.0151218E-03 -2.9721591E-03 -3.4798226E-03 -1.7333006E-03  0.0000000E+00
  3.6000000E+02 -3.9025097E-03 -2.8975295E-03 -3.3857916E-03 -1.6842938E-03  0.0000000E+00
  3.6000000E+02 -3.7946568E-03 -2.8260680E-03 -3.2949139E-03 -1.6350355E-03  0.0000000E+00
  3.6000000E+02 -3.6915634E-03 -2.7577575E-03 -3.2071759E-03 -1.5855947E-03  0.0000000E+00
  3.6000000E+02 -3.5942951E-03 -2.6924971E-03 -3.1237597E-03 -1.5360196E-03  0.0000000E+00
  3.6000000E+02 -3.5039467E-03 -2.6301465E-03 -3.0459531E-03 -1.4863406E-03  0.0000000E+00
  3.6000000E+02 -3.4210382E-03 -2.5705522E-03 -2.9745020E-03 -1.4365730E-03  0.0000000E+00
  3.6000000E+02 -3.3452711E-03 -2.5135587E-03 -2.9093347E-03 -1.3867179E-03  0.0000000E+00
  3.6000000E+02 -3.2755751E-03 -2.4590070E-03 -2.8495868E-03 -1.3367644E-03  0.0000000E+00
  3.6000000E+02 -3.2103742E-03 -2.4067238E-03 -2.7938558E-03 -1.2866906E-03  0.0000000E+00
  3.6000000E+02 -3.1480022E-03 -2.3565032E-03 -2.7406119E-03 -1.2364658E-03  0.0000000E+00
  3.6000000E+02 -3.0871961E-03 -2.3080855E-03 -2.6886961E-03 -1.1860528E-03  0.0000000E+00
  3.6000000E+02 -3.0275969E-03 -2.2611334E-03 -2.6378320E-03 -1.1354115E-03  0.0000000E+00
  3.6000000E+02 -2.9701885E-03 -2.2152112E-03 -2.5890817E-03 -1.0845038E-03  0.0000000E+00
  3.6000000E+02 -2.9176013E-03 -2.1697670E-03 -2.5451723E-03 -1.0332991E-03  0.0000000E+00
  3.6000000E+02 -2.8742135E-03 -2.1241231E-03 -2.5106233E-03 -9.8178339E-04  0.0000000E+00
  3.6000000E+02 -2.8417760E-03 -2.0774831E-03 -2.4871551E-03 -9.2997873E-04  0.0000000E+00
  3.6000000E+02 -2.7316048E-03 -2.0305873E-03 -2.3806143E-03 -8.7815644E-04  0.0000000E+00
  3.6000000E+02 -2.6492333E-03 -1.9844576E-03 -2.3027639E-03 -8.2606161E-04  0.0000000E+00
  3.6000000E+02 -2.5810884E-03 -1.9393004E-03 -2.2393498E-03 -7.7374921E-04  0.0000000E+00
  3.6000000E+02 -2.5195074E-03 -1.8952928E-03 -2.1823070E-03 -7.2128361E-04  0.0000000E+00
  3.6000000E+02 -2.4607981E-03 -1.8525735E-03 -2.1277651E-03 -6.6873416E-04  0.0000000E+00
  3.6000000E+02 -2.4037234E-03 -1.8112387E-03 -2.0744762E-03 -6.1617114E-04  0.0000000E+00
  3.6000000E+02 -2.3483631E-03 -1.7713427E-03 -2.0226204E-03 -5.6366207E-04  0.0000000E+00
  3.6000000E+02 -2.2953079E-03 -1.7329010E-03 -1.9729449E-03 -5.1126845E-04  0.0000000E+00
  3.6000000E+02 -2.2451371E-03 -1.6958957E-03 -1.9261924E-03 -4.5904315E-04  0.0000000E+00
  3.6000000E+02 -2.1981342E-03 -1.6602828E-03 -1.8827751E-03 -4.0702848E-04  0.0000000E+00
  3.6000000E+02 -2.1541938E-03 -1.6259984E-03 -1.8426494E-03 -3.5525502E-04  0.0000000E+00
  3.6000000E+02 -2.1128735E-03 -1.5929654E-03 -1.8053480E-03 -3.0374139E-04  0.0000000E+00
  3.6000000E+02 -2.0735427E-03 -1.5610970E-03 -1.7701242E-03 -2.5249495E-04  0.0000000E+00
  3.6000000E+02 -2.0355837E-03 -1.5302987E-03 -1.7361653E-03 -2.0151368E-04  0.0000000E+00
  3.6000000E+02 -1.9985963E-03 -1.5004657E-03 -1.7028304E-03 -1.5078920E-04  0.0000000E+00
